"地方公共団体名","地方公共団体名称","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","アドレスマッチング","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数_小便器","男性トイレ数_和式","男性トイレ数_洋式","女性トイレ総数","女性トイレ数_和式","女性トイレ数_洋式","男女共同トイレ総数","男女共同トイレ数_和式","男女共同トイレ数_洋式","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考","所管課","経度","緯度","分類"
"熊谷市","埼玉県熊谷市","宮前公園","ミヤマエコウエン","","112020","0024001","埼玉県熊谷市宮前町1-29","埼玉県","熊谷市","宮前町1","29","","熊谷市宮前町1-29","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.382833052609","36.1416956488963","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","堤公園","ツツミコウエン","","112020","0027002","埼玉県熊谷市赤城町2-120","埼玉県","熊谷市","赤城町2","120","","熊谷市赤城町2-120","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.367737302206","36.1457576768747","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","見晴公園","ミハラシコウエン","","112020","0143000","埼玉県熊谷市見晴町460","埼玉県","熊谷市","見晴町","460","","熊谷市見晴町460","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.372802230036","36.1412721095345","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","宮町公園","ミヤマチコウエン","","112020","0019002","埼玉県熊谷市宮町2-68","埼玉県","熊谷市","宮町2","68","","熊谷市宮町2-68","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.386883044388","36.1476239073394","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","玉井公園","タマイコウエン","","112020","0002000","埼玉県熊谷市玉井1973-314","埼玉県","熊谷市","玉井","1973-314","","熊谷市玉井1973-314","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.34373998193","36.178060524071","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","本石公園","ホンゴクコウエン","","112020","0033001","埼玉県熊谷市本石1-10","埼玉県","熊谷市","本石1","10","","熊谷市本石1-10","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.379420096672","36.1486388622663","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府第1公園","ベップダイイチコウエン","","112020","0021002","埼玉県熊谷市別府2-83","埼玉県","熊谷市","別府2","83","","熊谷市別府2-83","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.332818730478","36.1861208330747","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府第3公園","ベップダイサンコウエン","","112020","0021005","埼玉県熊谷市別府5-51","埼玉県","熊谷市","別府5","51","","熊谷市別府5-51","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.335325631562","36.1804953702317","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","小曽根公園","オゾネコウエン","","112020","0070000","埼玉県熊谷市小曽根992","埼玉県","熊谷市","小曽根","992","","熊谷市小曽根992","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.386692113914","36.1747082965929","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","新島公園","ニイジマコウエン","","112020","0029000","埼玉県熊谷市石原120","埼玉県","熊谷市","石原","120","","熊谷市石原120","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.360726296988","36.1612211532079","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","中奈良公園","ナカナラコウエン","","112020","0134000","埼玉県熊谷市中奈良2264","埼玉県","熊谷市","中奈良","2264","","熊谷市中奈良2264","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.356394923247","36.1851422762576","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","雀宮第1公園","スズメノミヤダイイチコウエン","","112020","0140000","埼玉県熊谷市上之1306","埼玉県","熊谷市","上之","1306","","熊谷市上之1306","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.397428637129","36.1602990833638","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","雀宮第4公園","スズメノミヤダイヨンコウエン","","112020","0028000","埼玉県熊谷市肥塚702-1","埼玉県","熊谷市","肥塚","702-1","","熊谷市肥塚702-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.390818387931","36.1613191333328","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","雀宮第5公園","スズメノミヤダイゴコウエン","","112020","0028000","埼玉県熊谷市肥塚550-1","埼玉県","熊谷市","肥塚","550-1","","熊谷市肥塚550-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.396916422464","36.1622220466499","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","肥塚公園","コイヅカコウエン","","112020","0028000","埼玉県熊谷市肥塚980","埼玉県","熊谷市","肥塚","980","","熊谷市肥塚980","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.392242213061","36.1682808223995","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","箱田第1公園","ハコダダイイチコウエン","","112020","0004002","埼玉県熊谷市中央2-219","埼玉県","熊谷市","中央2","219","","熊谷市中央2-219","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.394300874377","36.1539140631086","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","箱田第2公園","ハコダダイニコウエン","","112020","0004003","埼玉県熊谷市中央3-169","埼玉県","熊谷市","中央3","169","","熊谷市中央3-169","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.396831194175","36.1559531943077","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","箱田第3公園","ハコダダイサンコウエン","","112020","0004003","埼玉県熊谷市中央3-57","埼玉県","熊谷市","中央3","57","","熊谷市中央3-57","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.393151771129","36.1569011482546","公衆トイレ一覧"
