"地方公共団体名","地方公共団体名称","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","アドレスマッチング","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数_小便器","男性トイレ数_和式","男性トイレ数_洋式","女性トイレ総数","女性トイレ数_和式","女性トイレ数_洋式","男女共同トイレ総数","男女共同トイレ数_和式","男女共同トイレ数_洋式","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考","所管課","経度","緯度","分類"
"熊谷市","埼玉県熊谷市","熊谷さくら運動公園","クマガヤサクラウンドウコウエン","","112020","0088000","埼玉県熊谷市小島157-1","埼玉県","熊谷市","小島","157-1","","熊谷市小島157-1","本球場北西　テニスコート西　多目的広場西　第3球場北　事務所","","","","","","","","","","","","","","","7","有","無","有","8:00:00","17:00:00","4月から10月は8:00～18:00","","","","公園緑地課","139.345329771782","36.1578490448752","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府沼公園","ベップヌマコウエン","","112020","0122000","埼玉県熊谷市西別府1456","埼玉県","熊谷市","西別府","1456","","熊谷市西別府1456","芝生広場南西　イベント広場南　遊具広場東　ピクニック広場東","","","","","","","","","","","","","","","3","有","無","有","6:30:00","19:30:00","","","","","公園緑地課","139.336152616039","36.1953169098168","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼運動公園","メヌマウンドウコウエン","","112020","0114000","埼玉県熊谷市飯塚200","埼玉県","熊谷市","飯塚","200","","熊谷市飯塚200","子供広場北東　野球場南西　サッカー場南","","","","","","","","","","","","","","","1","有","無","無","8:00:00","17:30:00","","","","","公園緑地課","139.358515629358","36.2241615150969","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼西第一公園","メヌマニシダイイチコウエン","","112020","0039002","埼玉県熊谷市妻沼西2-9","埼玉県","熊谷市","妻沼西2","9","","熊谷市妻沼西2-9","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.349144726112","36.2241279666773","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼西第二公園","メヌマニシダイニコウエン","","112020","0039002","埼玉県熊谷市妻沼西2-12","埼玉県","熊谷市","妻沼西2","12","","熊谷市妻沼西2-12","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.354191867177","36.224206159957","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼東運動公園","メヌマヒガシウンドウコウエン","","112020","0100000","埼玉県熊谷市上須戸952-1","埼玉県","熊谷市","上須戸","952-1","","熊谷市上須戸952-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.400278636673","36.2060112345754","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","利根川総合運動公園","トネガワソウゴウウンドウコウエン","","112020","0138000","埼玉県熊谷市妻沼地内他","埼玉県","熊谷市","妻沼","","","熊谷市妻沼","多目的ゴルフ広場　大野サッカー場、葛和田サッカー場","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.40637323647","36.2203705896474","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","江南総合公園","コウナンソウゴウコウエン","","112020","0117000","埼玉県熊谷市板井377-1","埼玉県","熊谷市","板井","377-1","","熊谷市板井377-1","多目的広場北　野球場東","","","","","","","","","","","","","","","2","有","無","無","6:30:00","19:30:00","","","","","公園緑地課","139.308586637453","36.10927118211","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","中央公園","チュウオウコウエン","","112020","0019002","埼玉県熊谷市宮町2-39","埼玉県","熊谷市","宮町2","39","","熊谷市宮町2-39","緑化センター内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.389654820411","36.1478109759971","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.379234931723","36.1372969464199","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","久下荒川緑地","クゲアラカワリョクチ","","112020","0023000","埼玉県熊谷市久下4717","埼玉県","熊谷市","久下","4717","","熊谷市久下4717","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.400845669027","36.1250521309042","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","村岡荒川緑地","ムラオカアラカワリョクチ","","112020","0118000","埼玉県熊谷市村岡2062-1","埼玉県","熊谷市","村岡","2062-1","","熊谷市村岡2062-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.380515953866","36.1311653749231","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","柿沼広場","カキヌマヒロバ","","112020","0090000","埼玉県熊谷市柿沼24-1","埼玉県","熊谷市","柿沼","24-1","","熊谷市柿沼24-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.373949030854","36.1683869639626","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","蚕業試験場跡地ひろば","サンギョウシケンジョウアトチヒロバ","","112020","0029000","埼玉県熊谷市石原3-27","埼玉県","熊谷市","石原3","27","","熊谷市石原3-27","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.379726029207","36.1511365592545","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","西城区民広場","ニシジョウクミンヒロバ","","112020","0106000","埼玉県熊谷市西城138～142","埼玉県","熊谷市","西城","138～142","","熊谷市西城138～142","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.3918186403","36.202906766867","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","八ツ口公園","ヤツクチコウエン","","112020","0066000","埼玉県熊谷市八ツ口921","埼玉県","熊谷市","八ツ口","921","","熊谷市八ツ口921","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.391308010206","36.2140741919471","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","ミニ公園","ミニコウエン","","112020","0072000","埼玉県熊谷市中曽根653-1","埼玉県","熊谷市","中曽根","653-1","","熊谷市中曽根653-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.41007434384","36.102274380734","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","駒形公園","コマガタコウエン","","112020","0101000","埼玉県熊谷市三本506","埼玉県","熊谷市","三本","506","","熊谷市三本506","南側（上段）　北側（下段）","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.326123565868","36.1256778297265","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","下押切公園","シモオシキリコウエン","","112020","0128000","埼玉県熊谷市押切381-2","埼玉県","熊谷市","押切","381-2","","熊谷市押切381-2","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.340244016268","36.13376359047","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","上新田広場","カミシンデンヒロバ","","112020","0068000","埼玉県熊谷市上新田101-1","埼玉県","熊谷市","上新田","101-1","","熊谷市上新田101-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.316280091522","36.1307521712524","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","樋春北広場","ヒハルキタヒロバ","","112020","0110000","埼玉県熊谷市樋春165","埼玉県","熊谷市","樋春","165","","熊谷市樋春165","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.349102855439","36.1320762902229","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","南成沢公園","ミナミナリサワコウエン","","112020","0111000","埼玉県熊谷市成沢1151","埼玉県","熊谷市","成沢","1151","","熊谷市成沢1151","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.34904842512","36.1153332035877","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","切所沼親水公園（駐車場側）","キリショヌマシンスイコウエン（チュウシャジョウガワ）","","112020","0104000","埼玉県熊谷市小泉932-5","埼玉県","熊谷市","小泉","932-5","","熊谷市小泉932-5","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.398885759441","36.1163106059522","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","中の淵親水公園","ナカノフチシンスイコウエン","","112020","0113000","埼玉県熊谷市小八林1326","埼玉県","熊谷市","小八林","1326","","熊谷市小八林1326","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.433007175517","36.0815199937077","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","駅東第三公園","エキトウダイサンコウエン","","112020","0016007","埼玉県熊谷市銀座7-154","埼玉県","熊谷市","銀座7","154","","熊谷市銀座7-154","公園内","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.399651876961","36.1359899197038","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","伊勢町ふれあい公園","イセチョウフレアイコウエン","","112020","0036000","埼玉県熊谷市伊勢町94","埼玉県","熊谷市","伊勢町","94","","熊谷市伊勢町94","公園北西側　公園北東側","","","","","","","","","","","","","","","2","有","無","有","7:30:00","18:30:00","3月から10月は6:30～19:30","","","","公園緑地課","139.373572763403","36.1445513042552","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","かめの道","カメノミチ","","112020","0029000","埼玉県熊谷市石原2019","埼玉県","熊谷市","石原","2019","","熊谷市石原2019","石原公園南西 サンシティ熊谷西側","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.373781562182","36.1534844407069","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷さくら運動公園","クマガヤサクラウンドウコウエン","","112020","0088000","埼玉県熊谷市小島157-1","埼玉県","熊谷市","小島","157-1","","熊谷市小島157-1","野球場北西　テニスコート西　多目的広場西　第3球場北","","","","","","","","","","","","","","","7","有","無","有","8:00:00","17:00:00","4月から10月は8:00～18:00","","","","公園緑地課","139.346651205205","36.1530888492615","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷さくら運動公園","クマガヤサクラウンドウコウエン","","112020","0088000","埼玉県熊谷市小島157-1","埼玉県","熊谷市","小島","157-1","","熊谷市小島157-1","野球場北西　テニスコート西　多目的広場西　第3球場北","","","","","","","","","","","","","","","7","有","無","有","8:00:00","17:00:00","4月から10月は8:00～18:00","","","","公園緑地課","139.345244989479","36.1558376954626","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷さくら運動公園","クマガヤサクラウンドウコウエン","","112020","0088000","埼玉県熊谷市小島157-1","埼玉県","熊谷市","小島","157-1","","熊谷市小島157-1","野球場北西　テニスコート西　多目的広場西　第3球場北","","","","","","","","","","","","","","","7","有","無","有","8:00:00","17:00:00","4月から10月は8:00～18:00","","","","公園緑地課","139.346950428124","36.1563741427007","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷さくら運動公園","クマガヤサクラウンドウコウエン","","112020","0088000","埼玉県熊谷市小島157-1","埼玉県","熊谷市","小島","157-1","","熊谷市小島157-1","野球場北西　テニスコート西　多目的広場西　第3球場北","","","","","","","","","","","","","","","7","有","無","有","8:00:00","17:00:00","4月から10月は8:00～18:00","","","","公園緑地課","139.343137801642","36.1562403018545","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府沼公園","ベップヌマコウエン","","112020","0122000","埼玉県熊谷市西別府1456","埼玉県","熊谷市","西別府","1456","","熊谷市西別府1456","芝生広場南西　イベント広場南　遊具広場東　ピクニック広場東","","","","","","","","","","","","","","","3","有","無","有","6:30:00","19:30:00","","","","","公園緑地課","139.333413852315","36.1943197231107","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府沼公園","ベップヌマコウエン","","112020","0122000","埼玉県熊谷市西別府1456","埼玉県","熊谷市","西別府","1456","","熊谷市西別府1456","芝生広場南西　イベント広場南　遊具広場東　ピクニック広場東","","","","","","","","","","","","","","","3","有","無","有","6:30:00","19:30:00","","","","","公園緑地課","139.342281658607","36.1942888347218","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","別府沼公園","ベップヌマコウエン","","112020","0122000","埼玉県熊谷市西別府1456","埼玉県","熊谷市","西別府","1456","","熊谷市西別府1456","芝生広場南西　イベント広場南　遊具広場東　ピクニック広場東","","","","","","","","","","","","","","","3","有","無","有","6:30:00","19:30:00","","","","","公園緑地課","139.341220773558","36.1950167714206","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼運動公園","メヌマウンドウコウエン","","112020","0114000","埼玉県熊谷市飯塚200","埼玉県","熊谷市","飯塚","200","","熊谷市飯塚200","子供広場北東　野球場南西　サッカー場南","","","","","","","","","","","","","","","1","有","無","無","8:00:00","17:30:00","","","","","公園緑地課","139.359373174707","36.2237593384921","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼運動公園","メヌマウンドウコウエン","","112020","0114000","埼玉県熊谷市飯塚200","埼玉県","熊谷市","飯塚","200","","熊谷市飯塚200","子供広場北東　野球場南西　サッカー場南","","","","","","","","","","","","","","","1","有","無","無","8:00:00","17:30:00","","","","","公園緑地課","139.36036795294","36.223656247473","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","妻沼運動公園","メヌマウンドウコウエン","","112020","0114000","埼玉県熊谷市飯塚200","埼玉県","熊谷市","飯塚","200","","熊谷市飯塚200","子供広場北東　野球場南西　サッカー場南","","","","","","","","","","","","","","","1","有","無","無","8:00:00","17:30:00","","","","","公園緑地課","139.358291393484","36.2244535413171","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","利根川総合運動公園","トネガワソウゴウウンドウコウエン","","112020","0138000","埼玉県熊谷市妻沼地内他","埼玉県","熊谷市","妻沼","","","熊谷市妻沼","多目的ゴルフ広場　大野サッカー場、葛和田サッカー場","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.427729011105","36.2042780807761","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","利根川総合運動公園","トネガワソウゴウウンドウコウエン","","112020","0138000","埼玉県熊谷市妻沼地内他","埼玉県","熊谷市","妻沼","","","熊谷市妻沼","多目的ゴルフ広場　大野サッカー場、葛和田サッカー場","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.425483116315","36.205791368777","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","利根川総合運動公園","トネガワソウゴウウンドウコウエン","","112020","0138000","埼玉県熊谷市妻沼地内他","埼玉県","熊谷市","妻沼","","","熊谷市妻沼","多目的ゴルフ広場　大野サッカー場、葛和田サッカー場","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.381589360786","36.2337537483457","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","江南総合公園","コウナンソウゴウコウエン","","112020","0117000","埼玉県熊谷市板井377-1","埼玉県","熊谷市","板井","377-1","","熊谷市板井377-1","多目的広場北　野球場東","","","","","","","","","","","","","","","2","有","無","無","6:30:00","19:30:00","","","","","公園緑地課","139.310017156358","36.1071086954315","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","駒形公園","コマガタコウエン","","112020","0101000","埼玉県熊谷市三本506","埼玉県","熊谷市","三本","506","","熊谷市三本506","南側（上段）　北側（下段）","","","","","","","","","","","","","","","1","有","無","無","","","","","","","公園緑地課","139.326646606307","36.1266196423093","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.380403075061","36.1370422473137","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.383324590948","36.1361970294626","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.386607526616","36.1352854914081","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.390102448756","36.1337099422331","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.391246204033","36.1328354059512","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.377578653902","36.1378990292497","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.375713362601","36.138612952397","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.370941121091","36.1400141616259","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","熊谷荒川緑地","クマガヤアラカワリョクチ","","112020","0147000","埼玉県熊谷市熊谷2553-2","埼玉県","熊谷市","熊谷","2553-2","","熊谷市熊谷2553-2","運動広場1，2，3，4、ソフトボール場4，8、市民いきいき広場自由広場、ラグビー場東側","","","","","","","","","","","","","","","","無","無","無","","","","","","","公園緑地課","139.373511675729","36.1398437993141","公衆トイレ一覧"
